Azure service,Description,Type,Free monthly amount,Free period
Advisor,Get personalized recommendations and best practices for Azure.,Management and governance,Unlimited,Always
API Management,"Manage APIs across all platforms with a hybrid, multicloud platform.",Integration,1 million monthly calls free with Consumption tier,Always
App Service,Quickly create powerful apps for any platform or device using your choice of tools including Node.js and PHP.,Compute,"10 web, mobile, or API apps with 1 GB storage 1 hour per day",Always
Automation,Simplify cloud management with process automation.,Management and governance,500 minutes of job runtime,Always
Azure Active Directory (Azure AD),Enable identity and access management in the cloud.,Identity,"50,000 stored objects with single sign-on (SSO) to all cloud apps",Always
Azure Attestation,Verify the identity and security posture of trusted platform modules and trusted execution environments.,Security,Free,Always
Azure Cosmos DB,Build modern apps at any scale using a fast NoSQL database with open APIs.,Databases,"1,000 request units per-second provisioned throughput with 25 GB storage",Always
Azure Kubernetes Service (AKS),Deploy and manage containers using the tools you choose.,Compute,Free,Always
Azure Lighthouse,Manage service providers with Zero Trust access controls.,Management and governance,Free,Always
"Azure Managed Applications, Service catalog",Make it easier to acquire services with a catalog of approved cloud offerings.,Management and governance,Free publishing,Always
Azure Policy,Achieve real-time cloud compliance at scale with consistent resource governance.,Management and governance,Free access to configuration and change tracking features,Always
Azure Resource Mover,Simplify how you move multiple resources between Azure regions.,Management and governance,Free (ingress and egress charges may apply),Always
Bandwidth (Data Transfer),Transfer data inbound and outbound through our robust network of global data centers.,Networking,100 GB outbound,Always
Batch,Scale your application in the cloud with job orchestration and scheduling for HPC applications.,Compute,Free,Always
Cloud Shell,Manage Azure resources in a browser-based shell using popular command-line tools and programming languages.,Management and governance,5 GB free storage in Azure Files for 12 months,Always
Container Apps,Build and deploy modern apps and microservices using serverless containers.,Containers,"180,000 vCPU seconds, 360,000 GiB seconds, and 2 million requests",Always
Cost Management,"Monitor, allocate, and optimize cloud costs with transparency, accuracy, and efficiency.",Management and governance,Free,Always
Database Migration Service,Simplify on-premises database migration to the cloud.,Databases,Free Standard Compute,Always
Event Grid,Get reliable event delivery at massive scale.,Integration,"100,000 operations per month",Always
Functions,Process events with a serverless code architecture.,Compute,1 million requests,Always
Health Data Services,Unify and manage health data and protected health information (PHI) in the cloud.,Integration,"1 GB structured and blob storage, 50,000 API requests, .5 GB transformation operations, 100,000 events",Always
Logic Apps,Build automated integration solutions across clouds and on-premises systems.,Integration,"4,000 built-in actions with the Consumption plan",Always
Monitor,"Gain full observability into your applications, infrastructure, and network.",Management and governance,See Azure Monitor pricing details for free amounts per feature,Always
Network Watcher,"Monitor, diagnose, and gain insights into your network performance and health.",Networking,"5 GB storage with 1,000 checks, 10 tests, and 10 connection metrics",Always
Notification Hubs,Send push notifications to any platform from any back end.,Mobile,1 million push notifications with free namespace,Always
Private Link,"Privately access services on Azure, keeping your data on the Microsoft network.",Networking,Free,Always
Resource Manager,Simplify how you manage your app resources.,Management and governance,Free,Always
Security Center,"Prevent, detect, and respond to threats with increased visibility and control over the security of your Azure resources.",Security,Free policy assessment and recommendations,Always
Service Fabric,"Build and operate always-on, scalable, distributed apps.",Containers,Free,Always
Static Web Apps,Streamline full-stack development from source code to global high availability.,Compute,"100 GB bandwidth per subscription, 2 custom domains and .5 GB storage per app",Always
Virtual Network,Provision private networks and connect to on-premises datacenters.,Networking,50 virtual networks,Always
